transfer_id,total_time,rcv_wait_time,rcv_proc_time,rcv_throughput,rcv_throughput_pb,rcv_load,decomp_wait_time,decomp_proc_time,decomp_throughput,decomp_throughput_pb,decomp_load,write_wait_time,write_proc_time,write_throughput,write_throughput_pb,write_load
123123,1038,0.00,1728765171137.00,0.00,0.00,30.00,293.00,1728765171137.00,0.00,0.00,0.00,293.00,1.00,0.85,250.00,0.00
0,60043,3411.00,55619.00,159.98,169.79,25.72,58315.00,715.00,159.98,13208.04,0.00,6844.00,52220.00,159.89,180.85,2.00
0,59013,48726.00,10240.00,160.15,922.24,6.00,57468.00,1498.00,160.15,6304.20,0.05,4771.00,54212.00,160.11,174.20,51.90
0,58014,47144.00,10404.00,164.10,907.70,7.14,56125.00,1422.00,164.10,6641.13,0.02,5076.00,52489.00,164.05,179.92,51.74
1728820580861928201,69011,44123.00,24589.00,137.44,384.06,18.00,67252.00,1460.00,137.44,6468.28,0.03,21106.00,47624.00,137.40,198.30,40.09
1728820655729417600,55013,49322.00,5088.00,173.56,1856.07,1.16,41066.00,13345.00,173.57,707.66,0.04,2031.00,52398.00,173.50,180.23,56.45
1728820716639709091,52009,47453.00,4042.00,183.39,2336.39,1.15,43489.00,8006.00,183.39,1179.58,0.00,1194.00,50319.00,183.33,187.68,56.46
1728820774335383947,52010,47311.00,4252.00,183.15,2221.00,1.17,42779.00,8784.00,183.15,1075.10,0.04,1192.00,50389.00,183.08,187.42,56.54
1728820832033826707,53011,48467.00,4181.00,179.37,2258.72,2.28,40117.00,12531.00,179.37,753.63,0.04,1178.00,51487.00,179.31,183.42,56.32
1728827132489446915,65009,1582.00,63115.00,145.97,149.63,55.35,63589.00,1108.00,145.97,8523.18,0.00,6738.00,57978.00,145.93,162.88,1.77
1728827203471526656,66011,2283.00,63295.00,144.01,149.20,52.00,49761.00,15817.00,144.01,597.06,0.00,2915.00,62682.00,143.97,150.66,5.00
1728827275574053089,64010,1674.00,61351.00,149.84,153.93,54.06,54656.00,8369.00,149.84,1128.41,0.06,2936.00,60108.00,149.80,157.11,2.97
1728827345639678827,65009,1733.00,62495.00,147.03,151.11,52.97,54606.00,9622.00,147.03,981.47,0.02,3080.00,61167.00,146.99,154.39,4.05
1728827416638779690,64010,1702.00,61566.00,149.26,153.39,53.41,49286.00,13981.00,149.26,675.47,0.05,2969.00,60318.00,149.22,156.56,3.45
