date,xdbc_version,host,run,source_system,target_system,table,compression,format,send_par,rcv_par,server_bufferpool_size,client_bufferpool_size,buffer_size,network,network_latency,network_loss,client_readmode,client_cpu,write_par,decomp_par,server_cpu,read_par,read_partitions,deser_par,comp_par,time,datasize,avg_cpu_server,avg_cpu_client
1728508549755805351,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,1,1,512,384,32,1000,0,0,2,16,1,1,16,1,1,1,1,52.266197,11530196079,0,0
1728508622032506970,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,1,1,512,768,32,1000,0,0,2,16,4,1,16,1,1,1,1,21.404192,11560874167,0,0
1728509363048815908,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,1,1,640,1152,32,1000,0,0,2,16,7,1,16,1,1,2,1,18.502345,11546169409,0,0
1728510670952959165,10,poodle-2,1,csv,csv,lineitem_sf10,zstd,2,1,1,512,384,32,1000,0,0,2,16,1,1,16,1,1,1,1,57.492782,4172938295,0,0
1728510734225295551,10,poodle-2,1,csv,csv,lineitem_sf10,snappy,2,1,1,512,384,32,1000,0,0,2,16,1,1,16,1,1,1,1,55.374576,4901182912,0,0
1728510795380844268,10,poodle-2,1,csv,csv,lineitem_sf10,lz4,2,1,1,512,384,32,1000,0,0,2,16,1,1,16,1,1,1,1,56.219546,5439406789,0,0
1728510857299832407,10,poodle-2,1,csv,csv,lineitem_sf10,lzo,2,1,1,512,384,32,1000,0,0,2,16,1,1,16,1,1,1,1,55.413471,4943973404,0,0
1728511047334556268,10,poodle-2,1,csv,csv,lineitem_sf10,snappy,2,2,2,1024,2048,32,1000,0,0,2,16,12,2,16,1,1,2,3,17.405113,5259728258,0,0
1728513783656154623,10,poodle-2,1,csv,csv,lineitem_sf10,snappy,2,2,2,1024,2048,32,1000,0,0,2,16,12,2,16,1,1,2,3,19.204734,5252010611,0,0
1728513812323402058,10,poodle-2,1,csv,csv,lineitem_sf10,snappy,2,2,2,1024,2048,32,1000,0,0,2,16,12,2,16,1,1,2,3,21.234266,5255721368,0,0
1728513858890578574,10,poodle-2,1,csv,csv,lineitem_sf10,snappy,2,2,2,1024,2048,32,1000,0,0,2,16,12,2,16,1,1,2,3,20.38066,5185928880,0,0
1728513894346389132,10,poodle-2,1,csv,csv,lineitem_sf10,zstd,2,1,1,1280,2048,32,1000,0,0,2,16,12,3,16,1,1,2,6,24.699236,4187409205,0,0
1728513931224019232,10,poodle-2,1,csv,csv,lineitem_sf10,zstd,2,1,1,1280,2048,32,1000,0,0,2,16,12,3,16,1,1,2,6,22.677613,4186531312,0,0
1728513970556099345,10,poodle-2,1,csv,csv,lineitem_sf10,snappy,2,2,2,1024,2048,32,1000,0,0,2,16,12,2,16,1,1,2,3,21.377663,5257301995,0,0
1728514501418345335,10,poodle-2,1,csv,csv,lineitem_sf10,snappy,1,2,2,1024,2048,32,1000,0,0,2,16,12,2,16,1,1,2,3,19.312261,5683409159,0,0
1728514545308117753,10,poodle-2,1,csv,csv,lineitem_sf10,snappy,2,2,2,1024,2048,32,1000,0,0,2,16,12,2,16,1,1,2,3,20.323588,5256556644,0,0
1728514574627518940,10,poodle-2,1,csv,csv,lineitem_sf10,snappy,2,2,2,1024,2048,32,1000,0,0,2,16,12,2,16,1,1,2,3,21.288332,4992875163,0,0
1728514770310906322,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,1,1,512,384,32,0,0,0,2,16,1,1,16,1,1,1,1,52.238726,11040757771,0,0
1728515080689553696,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,1,1,768,2048,32,0,0,0,2,16,14,1,16,1,1,3,1,14.365276,11051277623,0,0
1728515219267255199,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,1024,2432,32,0,0,0,2,16,16,1,16,1,1,4,1,12.26666,11050024669,0,0
1728515264643837772,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,1024,2560,32,0,0,0,2,16,17,1,16,1,1,4,1,13.286131,11050750951,0,0
1728515296120848400,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,1,1,896,2432,32,0,0,0,2,16,17,1,16,1,1,4,1,15.343212,11052232777,0,0
1728515323634876215,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,1024,2560,32,0,0,0,2,16,17,1,16,1,1,4,1,15.46532,11050001429,0,0
1728515372862442176,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,1024,2432,32,0,0,0,2,16,16,1,16,1,1,4,1,13.331837,11050003821,0,0
1728515503182437422,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,16384,38912,512,0,0,0,2,16,16,1,16,1,1,4,1,13.192638,9984189010,0,0
1728515532103985592,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,1024,2432,32,0,0,0,2,16,16,1,16,1,1,4,1,30.358778,11047710097,0,0
1728515573641657570,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,1024,2432,32,0,0,0,2,16,16,1,16,1,1,4,1,15.392645,11049962905,0,0
1728515603782724019,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,16384,38912,512,0,0,0,2,16,16,1,16,1,1,4,1,14.177451,9984278100,0,0
1728515631345431342,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,1024,2432,32,0,0,0,2,16,16,1,16,1,1,4,1,16.251271,11050023455,0,0
1728515657071651004,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,1024,2432,32,0,0,0,2,16,16,1,16,1,1,4,1,16.444202,11049896517,0,0
1728551405781040631,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,2560,6080,32,0,0,0,2,16,16,1,16,1,1,4,1,11.281823,11050387379,0,0
1728551433243998293,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,1024,2432,32,0,0,0,2,16,16,1,16,1,1,4,1,14.385133,11049882367,0,0
1728551461937873487,10,poodle-2,1,csv,csv,lineitem_sf10,nocomp,1,2,2,2048,4864,32,0,0,0,2,16,16,1,16,1,1,4,1,15.331911,11049315689,0,0
