transfer_id,total_time,read_wait_time,read_proc_time,read_throughput,read_throughput_pb,read_load,deser_wait_time,deser_proc_time,deser_throughput,deser_throughput_pb,deser_load,comp_wait_time,comp_proc_time,comp_throughput,comp_throughput_pb,comp_load,send_wait_time,send_proc_time,send_throughput,send_throughput_pb,send_load
0,24051,14509.50,2775.50,427.28,813.34,22.86,2653.00,18110.00,454.74,521.26,39.68,21930.00,63.00,429.23,149841.27,39.68,18738.00,3256.00,429.16,2898.96,0.00
0,22972,10927.12,4445.38,480.72,267.44,30.25,5045.25,12601.25,535.15,187.33,28.70,18984.00,104.00,494.63,90788.46,28.70,10655.00,8436.00,494.55,1119.13,0.35
0,75255,43474.62,1671.88,163.69,797.61,3.93,55126.75,3123.50,163.17,755.75,0.22,58970.00,34.00,160.02,277705.88,0.22,15283.00,56218.00,157.95,166.83,58.57
0,69627,40156.12,1546.38,177.20,823.80,3.98,50547.50,2915.75,177.82,809.57,0.18,54219.00,27.00,174.06,349703.70,0.18,14310.00,51899.00,171.75,180.72,58.53
0,84546,49787.00,1473.50,144.16,860.09,3.23,65219.50,2881.50,139.72,819.41,0.07,68676.00,27.00,137.43,349703.70,0.07,19262.00,66345.00,135.50,141.35,58.93
0,67117,41117.50,1775.00,172.29,778.54,4.39,52282.50,2917.75,172.21,809.22,0.04,55917.00,26.00,168.78,363153.85,0.04,14962.00,53002.00,166.51,176.96,58.25
0,70607,38924.75,1857.88,181.20,739.44,5.41,49220.75,2974.00,182.13,793.78,0.11,53055.00,29.00,177.87,325586.21,0.11,14378.00,49891.00,175.57,187.97,57.11
0,70889,40735.50,1861.88,173.48,757.83,4.41,51714.50,2994.75,173.78,788.29,0.07,55527.00,28.00,169.95,337214.29,0.07,14573.00,52535.00,167.78,178.53,58.02
0,82157,40889.75,1437.62,174.59,857.57,3.98,52358.75,2945.25,171.91,801.62,0.12,56021.00,31.00,168.45,304580.65,0.12,14962.00,53725.00,166.19,174.56,58.58
0,65487,39211.75,1787.38,180.24,788.43,5.41,49401.50,2957.25,181.60,798.29,0.17,53209.00,28.00,177.36,337214.29,0.17,13931.00,50475.00,175.09,185.81,56.85
